SOC,SOH,Power,T,SEI_after,SEI_delta
80,1.4444,0.052632,23,1.4444004473035300E-08,44.730353
80,1.4444,0.15789,23,1.4444004582124500E-08,45.82124499
80,1.4444,0.26316,23,1.4444004697631300E-08,46.976313
80,1.4444,0.36842,23,1.4444004813847200E-08,48.138472
80,1.4444,0.47368,23,1.4444004935968200E-08,49.359682
80,1.4444,0.57895,23,1.4444005060893800E-08,50.60893799
80,1.4444,0.68421,23,1.4444005191816400E-08,51.91816399
80,1.4444,0.78947,23,1.4444005325539700E-08,53.25539699
80,1.4444,0.89474,23,1.4444005464406300E-08,54.64406299
80,1.4444,1,23,1.4444005609242800E-08,56.092428
80,1.5556,-1,23,1.5555999999998900E-08,-1.1018E-05
80,1.5556,-0.89474,23,1.5556000000383100E-08,0.003831004
80,1.5556,-0.78947,23,1.5555999999943000E-08,-0.000569994
80,1.5556,-0.68421,23,1.5555999999960900E-08,-0.000390992
80,1.5556,-0.57895,23,1.5556000000200300E-08,0.002003001
80,1.5556,-0.47368,23,1.5555999999689000E-08,-0.003110001
80,1.5556,-0.36842,23,1.5555999999839000E-08,-0.001609991
80,1.5556,-0.26316,23,1.5556000000149900E-08,0.001498984
80,1.5556,-0.15789,23,1.5556000000077100E-08,0.000770999
80,1.5556,-0.052632,23,1.5556000000022900E-08,0.000228997
80,1.5556,0.052632,23,1.5556004471230300E-08,44.71230301
80,1.5556,0.15789,23,1.5556004577538900E-08,45.77538898
80,1.5556,0.26316,23,1.5556004686581900E-08,46.86581899
80,1.5556,0.36842,23,1.5556004798884700E-08,47.98884701
80,1.5556,0.47368,23,1.5556004917106100E-08,49.17106098
80,1.5556,0.57895,23,1.5556005036487800E-08,50.36487799
80,1.5556,0.68421,23,1.5556005162231700E-08,51.62231699
80,1.5556,0.78947,23,1.5556005292236900E-08,52.922369
80,1.5556,0.89474,23,1.5556005424317900E-08,54.24317901
80,1.5556,1,23,1.5556005562216100E-08,55.62216099
80,1.6667,-1,23,1.6666999999826100E-08,-0.001738998
80,1.6667,-0.89474,23,1.6667000000766400E-08,0.007663994
80,1.6667,-0.78947,23,1.6666999999443700E-08,-0.005562988
80,1.6667,-0.68421,23,1.6667000000751300E-08,0.007513017
80,1.6667,-0.57895,23,1.6667000000177400E-08,0.001774005
80,1.6667,-0.47368,23,1.6667000000063100E-08,0.000631006
80,1.6667,-0.36842,23,1.6667000000381000E-08,0.003809994
80,1.6667,-0.26316,23,1.6666999999697000E-08,-0.003029996
80,1.6667,-0.15789,23,1.6667000000092300E-08,0.000923001
80,1.6667,-0.052632,23,1.6666999999856700E-08,-0.001433008
80,1.6667,0.052632,23,1.6667004469570700E-08,44.69570702
80,1.6667,0.15789,23,1.6667004572330200E-08,45.72330201
80,1.6667,0.26316,23,1.6667004678825900E-08,46.788259
80,1.6667,0.36842,23,1.6667004787728800E-08,47.877288
80,1.6667,0.47368,23,1.6667004900326600E-08,49.00326601
80,1.6667,0.57895,23,1.6667005016881200E-08,50.16881199
80,1.6667,0.68421,23,1.6667005136762600E-08,51.367626
80,1.6667,0.78947,23,1.6667005260275400E-08,52.60275399
80,1.6667,0.89474,23,1.6667005388592100E-08,53.88592099
80,1.6667,1,23,1.6667005520226300E-08,55.202263
80,1.7778,-1,23,1.7778000000185000E-08,0.001850006
80,1.7778,-0.89474,23,1.7777999999906300E-08,-0.000936997
80,1.7778,-0.78947,23,1.7778000000134300E-08,0.00134301
80,1.7778,-0.68421,23,1.7777999999551000E-08,-0.004490003
80,1.7778,-0.57895,23,1.7777999999185800E-08,-0.008141972
80,1.7778,-0.47368,23,1.7777999998935700E-08,-0.010643002
80,1.7778,-0.36842,23,1.7778000000017200E-08,0.00017202
80,1.7778,-0.26316,23,1.7777999999828000E-08,-0.001719973
80,1.7778,-0.15789,23,1.7777999999284200E-08,-0.007157991
80,1.7778,-0.052632,23,1.7777999999982400E-08,-0.000175991
80,1.7778,0.052632,23,1.7778004468120000E-08,44.68120002
80,1.7778,0.15789,23,1.7778004567877300E-08,45.67877303
80,1.7778,0.26316,23,1.7778004670627500E-08,46.70627501
80,1.7778,0.36842,23,1.7778004776038200E-08,47.760382
80,1.7778,0.47368,23,1.7778004885457200E-08,48.85457202
80,1.7778,0.57895,23,1.7778004998259500E-08,49.98259501
80,1.7778,0.68421,23,1.7778005114829000E-08,51.14829002
80,1.7778,0.78947,23,1.7778005233791100E-08,52.33791101
80,1.7778,0.89474,23,1.7778005356540900E-08,53.56540902
80,1.7778,1,23,1.7778005482609400E-08,54.82609401
80,1.8889,-1,23,1.8889000000265300E-08,0.002653
80,1.8889,-0.89474,23,1.8889000000001800E-08,1.79995E-05
80,1.8889,-0.78947,23,1.8888999999806500E-08,-0.001935007
80,1.8889,-0.68421,23,1.8889000000071100E-08,0.000710978
80,1.8889,-0.57895,23,1.8889000000219300E-08,0.002192988
80,1.8889,-0.47368,23,1.8888999999791500E-08,-0.002085025
80,1.8889,-0.36842,23,1.8889000000360700E-08,0.003607004
80,1.8889,-0.26316,23,1.8888999999477000E-08,-0.005229998
80,1.8889,-0.15789,23,1.8888999999404600E-08,-0.005954013
80,1.8889,-0.052632,23,1.8888999999997100E-08,-2.90175E-05
80,1.8889,0.052632,23,1.8889004466718400E-08,44.66718398
80,1.8889,0.15789,23,1.8889004562831100E-08,45.62831097
80,1.8889,0.26316,23,1.8889004663614100E-08,46.63614098
80,1.8889,0.36842,23,1.8889004767354000E-08,47.67353998
80,1.8889,0.47368,23,1.8889004872318800E-08,48.72318798
80,1.8889,0.57895,23,1.8889004981852800E-08,49.81852797
80,1.8889,0.68421,23,1.8889005093269200E-08,50.93269198
80,1.8889,0.78947,23,1.8889005208966600E-08,52.089666
80,1.8889,0.89474,23,1.8889005328488000E-08,53.28487998
80,1.8889,1,23,1.8889005449337200E-08,54.49337199
80,2,-1,23,1.9999999999937000E-08,-0.000630014
80,2,-0.89474,23,1.9999999999973700E-08,-0.00026301
80,2,-0.78947,23,2.0000000000444900E-08,0.004449007
80,2,-0.68421,23,1.9999999999631700E-08,-0.003683005
80,2,-0.57895,23,2.0000000000415800E-08,0.004158005
80,2,-0.47368,23,2.0000000000524400E-08,0.005243994
80,2,-0.36842,23,1.9999999999632600E-08,-0.003674005
80,2,-0.26316,23,1.9999999999924700E-08,-0.000752999
80,2,-0.15789,23,2.0000000000293500E-08,0.002935002
